Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
04-12-2023,13:52,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,-40,143.0500,EUR,"5,722.00",EUR,"5,722.00",,0.00,,"5,722.00",,c1912193-2bdb-4109-8779-a5e1e4ea44b5,
04-12-2023,13:50,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,-40,143.0500,EUR,"5,722.00",EUR,"5,722.00",,0.00,-3.90,"5,718.10",,c1912193-2bdb-4109-8779-a5e1e4ea44b5,
13-09-2023,00:00,NOVO NORDISK A/S,DK0062498333,TDG,,120,92.5000,EUR,"-11,100.00",EUR,"-11,100.00",,0.00,,"-11,100.00",,,
13-09-2023,00:00,NOVO NORDISK A/S,DK0060534915,TDG,,-60,185.0000,EUR,"11,100.00",EUR,"11,100.00",,0.00,,"11,100.00",,,
09-08-2023,16:02,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,18,167.6000,EUR,"-3,016.80",EUR,"-3,016.80",,0.00,,"-3,016.80",,83b52fc7-524d-4647-a549-4fd88c7a9564,
09-08-2023,16:02,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,40,167.6000,EUR,"-6,704.00",EUR,"-6,704.00",,0.00,-3.90,"-6,707.90",,83b52fc7-524d-4647-a549-4fd88c7a9564,
08-08-2023,17:20,NOVO NORDISK A/S,DK0060534915,TDG,XGAT,60,172.9000,EUR,"-10,374.00",EUR,"-10,374.00",,0.00,-3.90,"-10,377.90",,9083f454-ddcd-4668-b219-d6f0f14378ae,
07-08-2023,09:00,BT GROUP,GB0030913577,LSE,XLON,"7,500",113.6000,GBX,"-852,000.00",GBX,"-9,873.66",86.2902,-24.68,-4.90,"-9,878.56",,ee2a68ed-0f3f-4a9c-a511-f433a60f4a09,
01-06-2023,13:31,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,27,184.1000,EUR,"-4,970.70",EUR,"-4,970.70",,0.00,-3.90,"-4,974.60",,1f4da681-0b36-4fb6-8aff-dab33f70d3bb,
22-03-2023,08:47,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,12,163.5000,EUR,"-1,962.00",EUR,"-1,962.00",,0.00,-3.90,"-1,965.90",,3e8666b2-3dcd-4c35-bfd4-4a6e605b9b07,
